KODE DAN DATA ADMINISTRASI PEMERINTAHAN (PROVINSI, KABUPATEN/KOTA, KECAMATAN, DESA DAN KELURAHAN);;;;;;;;;;
KEPMENDAGRI Nomor 300.2.2 - 2138 TAHUN 2025;;;;;;;;;;
No;Kode Wilayah;Kode_Prov;Kode_Kab;Kode_Kec;Kode_Kel/Desa;Provinsi;Kabupaten/Kota;Kecamatan;Kelurahan/Desa;TIPE
1;11.01.01.2001;11.;11.01.;11.01.01.;11.01.01.2001;Aceh;Kabupaten Aceh Selatan;Bakongan;Keude Bakongan;Desa
2;11.01.01.2002;11.;11.01.;11.01.01.;11.01.01.2002;Aceh;Kabupaten Aceh Selatan;Bakongan;Ujong Mangki;Desa
3;11.01.01.2003;11.;11.01.;11.01.01.;11.01.01.2003;Aceh;Kabupaten Aceh Selatan;Bakongan;Ujong Padang;Desa
4;11.01.01.2004;11.;11.01.;11.01.01.;11.01.01.2004;Aceh;Kabupaten Aceh Selatan;Bakongan;Gampong Drien;Desa
5;11.01.01.2015;11.;11.01.;11.01.01.;11.01.01.2015;Aceh;Kabupaten Aceh Selatan;Bakongan;Darul Ikhsan;Desa
6;11.01.01.2016;11.;11.01.;11.01.01.;11.01.01.2016;Aceh;Kabupaten Aceh Selatan;Bakongan;Padang Beurahan;Desa
7;11.01.01.2017;11.;11.01.;11.01.01.;11.01.01.2017;Aceh;Kabupaten Aceh Selatan;Bakongan;Gampong Baro;Desa
8;11.01.02.2001;11.;11.01.;11.01.02.;11.01.02.2001;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Fajar Harapan;Desa
9;11.01.02.2002;11.;11.01.;11.01.02.;11.01.02.2002;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Krueng Batee;Desa
10;11.01.02.2003;11.;11.01.;11.01.02.;11.01.02.2003;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Pasi Kuala Asahan;Desa
11;11.01.02.2004;11.;11.01.;11.01.02.;11.01.02.2004;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Gunong Pulo;Desa
12;11.01.02.2005;11.;11.01.;11.01.02.;11.01.02.2005;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Pulo Ie I;Desa
13;11.01.02.2006;11.;11.01.;11.01.02.;11.01.02.2006;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Jambo Manyang;Desa
14;11.01.02.2007;11.;11.01.;11.01.02.;11.01.02.2007;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Simpang Empat;Desa
15;11.01.02.2008;11.;11.01.;11.01.02.;11.01.02.2008;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Limau Purut;Desa
16;11.01.02.2009;11.;11.01.;11.01.02.;11.01.02.2009;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Pulo Kambing;Desa
17;11.01.02.2010;11.;11.01.;11.01.02.;11.01.02.2010;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Kampung Paya;Desa
18;11.01.02.2011;11.;11.01.;11.01.02.;11.01.02.2011;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Krueng Batu;Desa
19;11.01.02.2012;11.;11.01.;11.01.02.;11.01.02.2012;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Krueng Kluet;Desa
20;11.01.02.2013;11.;11.01.;11.01.02.;11.01.02.2013;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Alur Mas;Desa
21;11.01.02.2014;11.;11.01.;11.01.02.;11.01.02.2014;Aceh;Kabupaten Aceh Selatan;Kluet Utara;Kampung Tinggi;Desa
